run,gamma,num_trajectories,training_episodes,max_iters,patience,mean_reward,mean_steps,success_rate,training_time
0,0.99,1000,500,500,100,-64.67,64.67,1.0,62.667885541915894
1,0.99,1000,500,500,100,-63.456,63.456,1.0,57.31687521934509
2,0.99,1000,500,500,100,-63.458,63.458,0.998,41.14728307723999
3,0.99,1000,500,500,100,-66.308,66.308,1.0,33.37574648857117
4,0.99,1000,500,500,100,-64.814,64.814,1.0,30.9784414768219
5,0.99,1000,500,500,100,-67.764,67.764,1.0,45.546578884124756
6,0.99,1000,500,500,100,-64.83,64.83,1.0,47.016234159469604
7,0.99,1000,500,500,100,-68.816,68.816,0.996,29.873258352279663
8,0.99,1000,500,500,100,-72.982,72.982,0.994,34.892035245895386
9,0.99,1000,500,500,100,-65.688,65.688,1.0,41.37706780433655
