run,gamma,num_trajectories,max_iters,patience,mean_reward,mean_steps,success_rate,training_time
0,0.5,500,500,100,-86.35,86.35,0.974,63.59710884094238
1,0.5,500,500,100,-98.2,98.2,0.94,34.978941440582275
2,0.5,500,500,100,-71.784,71.784,0.992,58.87176561355591
3,0.5,500,500,100,-78.398,78.398,0.982,86.62291169166565
4,0.5,500,500,100,-69.632,69.632,0.998,46.455511808395386
5,0.5,500,500,100,-75.138,75.138,0.99,38.04682397842407
6,0.5,500,500,100,-94.55,94.55,0.938,32.95211124420166
7,0.5,500,500,100,-78.606,78.606,0.988,54.86577129364014
8,0.5,500,500,100,-77.74,77.74,0.982,41.9238064289093
9,0.5,500,500,100,-64.586,64.586,0.998,66.8174180984497
