run,gamma,num_trajectories,training_episodes,max_iters,patience,mean_reward,mean_steps,success_rate,training_time
0,0.99,500,500,500,100,-72.426,72.426,0.994,48.89851951599121
1,0.99,500,500,500,100,-64.792,64.792,1.0,46.53709530830383
2,0.99,500,500,500,100,-69.096,69.096,1.0,71.07393670082092
3,0.99,500,500,500,100,-66.818,66.818,0.998,49.72083806991577
4,0.99,500,500,500,100,-66.866,66.866,0.998,50.70093607902527
5,0.99,500,500,500,100,-64.76,64.76,1.0,56.684043169021606
6,0.99,500,500,500,100,-65.184,65.184,1.0,69.1162497997284
7,0.99,500,500,500,100,-66.37,66.37,1.0,52.92600727081299
8,0.99,500,500,500,100,-64.89,64.89,0.998,41.77191185951233
9,0.99,500,500,500,100,-79.534,79.534,0.99,51.488378286361694
