run,gamma,num_trajectories,max_iters,patience,mean_reward,mean_steps,success_rate,training_time
0,0.95,10,500,100,-271.478,200.0,0.0,27.021021127700806
1,0.95,10,500,100,-301.97,200.0,0.0,70.14203310012817
2,0.95,10,500,100,-239.204,200.0,0.0,23.473448514938354
3,0.95,10,500,100,-330.284,200.0,0.0,24.801841020584106
4,0.95,10,500,100,-229.106,200.0,0.0,26.148510217666626
5,0.95,10,500,100,-200.0,200.0,0.0,27.448406457901
6,0.95,10,500,100,-220.196,200.0,0.0,27.46225118637085
7,0.95,10,500,100,-302.96,200.0,0.0,27.568650722503662
8,0.95,10,500,100,-460.568,200.0,0.0,49.445056438446045
9,0.95,10,500,100,-207.92,200.0,0.0,39.65832209587097
