run,gamma,num_trajectories,max_iters,patience,mean_reward,mean_steps,success_rate,training_time
0,0.7,10,500,100,-334.838,200.0,0.0,26.685632705688477
1,0.7,10,500,100,-271.676,200.0,0.0,25.769139528274536
2,0.7,10,500,100,-343.55,200.0,0.0,25.82135319709778
3,0.7,10,500,100,-207.326,200.0,0.0,25.66970682144165
4,0.7,10,500,100,-265.934,200.0,0.0,46.16450262069702
5,0.7,10,500,100,-246.332,200.0,0.0,65.888836145401
6,0.7,10,500,100,-200.0,200.0,0.0,36.81388330459595
7,0.7,10,500,100,-244.55,200.0,0.0,25.623494148254395
8,0.7,10,500,100,-200.0,200.0,0.0,23.936800241470337
9,0.7,10,500,100,-230.294,200.0,0.0,26.896397590637207
