run,gamma,num_trajectories,training_episodes,max_iters,patience,mean_reward,mean_steps,success_rate,training_time
0,0.99,1000,500,500,10,-98.904,98.904,0.938,8.000524997711182
1,0.99,1000,500,500,10,-77.084,77.084,0.992,9.772001504898071
2,0.99,1000,500,500,10,-292.886,189.728,0.132,5.015356540679932
3,0.99,1000,500,500,10,-237.564,168.858,0.374,3.7476370334625244
4,0.99,1000,500,500,10,-355.628,200.0,0.0,4.18746542930603
5,0.99,1000,500,500,10,-162.426,99.066,0.9,6.189743995666504
6,0.99,1000,500,500,10,-346.718,200.0,0.0,4.247590780258179
7,0.99,1000,500,500,10,-82.318,82.318,0.984,11.77618145942688
8,0.99,1000,500,500,10,-216.432,133.668,0.684,3.874016761779785
9,0.99,1000,500,500,10,-64.392,64.392,1.0,11.810164451599121
