run,gamma,num_trajectories,max_iters,patience,mean_reward,mean_steps,success_rate,training_time
0,0.5,100,500,100,-459.776,200.0,0.0,67.4536828994751
1,0.5,100,500,100,-368.894,200.0,0.0,34.22492957115173
2,0.5,100,500,100,-186.966,142.218,0.686,74.4923927783966
3,0.5,100,500,100,-432.452,200.0,0.0,38.97171640396118
4,0.5,100,500,100,-392.654,200.0,0.0,36.56141662597656
5,0.5,100,500,100,-243.902,147.674,0.576,36.53057670593262
6,0.5,100,500,100,-289.892,200.0,0.0,69.95991611480713
7,0.5,100,500,100,-358.598,200.0,0.0,34.795307636260986
8,0.5,100,500,100,-381.764,200.0,0.0,35.90714073181152
9,0.5,100,500,100,-122.252,91.562,0.956,126.93933773040771
