run,gamma,num_trajectories,max_iters,patience,mean_reward,mean_steps,success_rate,training_time
0,0.7,100,500,100,-350.876,200.0,0.0,34.3925986289978
1,0.7,100,500,100,-335.926,138.916,0.62,31.213619709014893
2,0.7,100,500,100,-276.108,163.248,0.422,45.11276340484619
3,0.7,100,500,100,-366.856,165.688,0.388,31.723350048065186
4,0.7,100,500,100,-323.948,200.0,0.0,33.90801453590393
5,0.7,100,500,100,-484.328,200.0,0.0,33.64909291267395
6,0.7,100,500,100,-444.728,200.0,0.0,32.331488609313965
7,0.7,100,500,100,-296.822,200.0,0.0,34.404699087142944
8,0.7,100,500,100,-468.092,200.0,0.0,37.08132290840149
9,0.7,100,500,100,-61.914,61.914,1.0,98.60144305229187
