run,gamma,num_trajectories,training_episodes,max_iters,patience,mean_reward,mean_steps,success_rate,training_time
0,0.7,1000,500,500,100,-65.442,65.442,0.998,46.54843807220459
1,0.7,1000,500,500,100,-70.626,70.626,0.996,48.26756000518799
2,0.7,1000,500,500,100,-69.278,69.278,0.994,23.588990449905396
3,0.7,1000,500,500,100,-68.07,68.07,0.992,82.01296138763428
4,0.7,1000,500,500,100,-69.782,69.782,0.996,30.38840913772583
5,0.7,1000,500,500,100,-76.774,76.774,0.996,40.26734018325806
6,0.7,1000,500,500,100,-68.72,68.72,0.998,65.79189944267273
7,0.7,1000,500,500,100,-70.78,70.78,0.998,45.175447940826416
8,0.7,1000,500,500,100,-80.682,80.682,0.982,33.88453388214111
9,0.7,1000,500,500,100,-72.812,72.812,0.996,41.940590381622314
