run,gamma,num_trajectories,max_iters,patience,mean_reward,mean_steps,success_rate,training_time
0,0.99,1000,500,100,-65.25,65.25,1.0,35.44639253616333
1,0.99,1000,500,100,-63.97,63.97,0.99,39.75895833969116
2,0.99,1000,500,100,-66.95,66.95,1.0,26.15046739578247
3,0.99,1000,500,100,-64.9,64.9,1.0,57.52762961387634
4,0.99,1000,500,100,-70.22,70.22,1.0,32.92140316963196
5,0.99,1000,500,100,-61.74,61.74,0.99,51.2926127910614
6,0.99,1000,500,100,-65.34,65.34,1.0,38.32711696624756
7,0.99,1000,500,100,-72.5,72.5,1.0,30.186354160308838
8,0.99,1000,500,100,-69.21,69.21,1.0,35.83314323425293
9,0.99,1000,500,100,-65.77,65.77,1.0,58.89049053192139
