run,gamma,num_trajectories,max_iters,patience,mean_reward,mean_steps,success_rate,training_time
0,0.5,1000,500,100,-81.216,81.216,0.972,44.44023299217224
1,0.5,1000,500,100,-79.758,79.758,0.988,31.461078882217407
2,0.5,1000,500,100,-65.24,65.24,0.998,87.45955729484558
3,0.5,1000,500,100,-80.522,80.522,0.978,71.65515685081482
4,0.5,1000,500,100,-75.158,75.158,0.988,45.36699342727661
5,0.5,1000,500,100,-70.956,70.956,0.996,61.69705557823181
6,0.5,1000,500,100,-64.31,64.31,1.0,46.95385217666626
7,0.5,1000,500,100,-73.002,73.002,0.996,46.61080265045166
8,0.5,1000,500,100,-71.236,71.236,0.998,58.36697173118591
9,0.5,1000,500,100,-73.922,73.922,0.99,49.22551226615906
