run,gamma,num_trajectories,training_episodes,max_iters,patience,mean_reward,mean_steps,success_rate,training_time
0,0.95,1000,500,500,100,-65.506,65.506,1.0,43.093077659606934
1,0.95,1000,500,500,100,-70.608,70.608,0.992,52.84977316856384
2,0.95,1000,500,500,100,-68.644,68.644,0.998,28.246317625045776
3,0.95,1000,500,500,100,-67.876,67.876,1.0,34.38706636428833
4,0.95,1000,500,500,100,-69.944,69.944,1.0,51.18604302406311
5,0.95,1000,500,500,100,-64.964,64.964,1.0,77.98069620132446
6,0.95,1000,500,500,100,-63.03,63.03,0.998,59.77154350280762
7,0.95,1000,500,500,100,-67.23,67.23,0.996,27.445650577545166
8,0.95,1000,500,500,100,-70.592,70.592,0.994,33.44770646095276
9,0.95,1000,500,500,100,-66.174,66.174,1.0,41.13284707069397
