episode,reward,steps,time,reached_goal
0,-70.0,70,0.0007572174072265625,True
1,-65.0,65,0.0006809234619140625,True
2,-67.0,67,0.0006501674652099609,True
3,-88.0,88,0.0008740425109863281,True
4,-46.0,46,0.0005238056182861328,True
5,-81.0,81,0.0007758140563964844,True
6,-98.0,98,0.0009026527404785156,True
7,-50.0,50,0.0004875659942626953,True
8,-42.0,42,0.0004487037658691406,True
9,-74.0,74,0.0007078647613525391,True
10,-39.0,39,0.00040793418884277344,True
11,-54.0,54,0.0005486011505126953,True
12,-78.0,78,0.0007841587066650391,True
13,-62.0,62,0.0006041526794433594,True
14,-57.0,57,0.0005905628204345703,True
15,-60.0,60,0.000568389892578125,True
16,-64.0,64,0.0006017684936523438,True
17,-97.0,97,0.0009241104125976562,True
18,-103.0,103,0.0009722709655761719,True
19,-90.0,90,0.0008463859558105469,True
20,-47.0,47,0.0004966259002685547,True
21,-76.0,76,0.0006988048553466797,True
22,-67.0,67,0.0006625652313232422,True
23,-42.0,42,0.0004680156707763672,True
24,-90.0,90,0.0008349418640136719,True
25,-97.0,97,0.0008709430694580078,True
26,-88.0,88,0.0008597373962402344,True
27,-41.0,41,0.0004646778106689453,True
28,-76.0,76,0.0007588863372802734,True
29,-84.0,84,0.0008032321929931641,True
30,-30.0,30,0.0003275871276855469,True
31,-99.0,99,0.0009393692016601562,True
32,-137.0,137,0.0012450218200683594,True
33,-67.0,67,0.0006628036499023438,True
34,-52.0,52,0.0005364418029785156,True
35,-49.0,49,0.00048470497131347656,True
36,-38.0,38,0.00042057037353515625,True
37,-54.0,54,0.0005230903625488281,True
38,-137.0,137,0.001255035400390625,True
39,-32.0,32,0.00034809112548828125,True
40,-60.0,60,0.0005979537963867188,True
41,-108.0,108,0.0010094642639160156,True
42,-81.0,81,0.0007669925689697266,True
43,-120.0,120,0.0010864734649658203,True
44,-54.0,54,0.0005218982696533203,True
45,-60.0,60,0.0005972385406494141,True
46,-54.0,54,0.000553131103515625,True
47,-45.0,45,0.000446319580078125,True
48,-34.0,34,0.0003631114959716797,True
49,-76.0,76,0.0007007122039794922,True
50,-57.0,57,0.0005931854248046875,True
51,-62.0,62,0.0006084442138671875,True
52,-91.0,91,0.0008082389831542969,True
