run,gamma,num_trajectories,max_iters,patience,mean_reward,mean_steps,success_rate,training_time
0,0.99,1000,500,100,-64.5714,64.5714,0.9998,56.17126202583313
1,0.99,1000,500,100,-67.184,67.184,0.9984,54.89960312843323
2,0.99,1000,500,100,-64.8026,64.8026,1.0,36.61273241043091
3,0.99,1000,500,100,-68.6632,68.6632,0.9982,51.49827980995178
4,0.99,1000,500,100,-64.8838,64.8838,0.9996,39.92869305610657
5,0.99,1000,500,100,-65.094,65.094,0.9998,40.31501913070679
6,0.99,1000,500,100,-65.359,65.359,0.9998,25.485514879226685
7,0.99,1000,500,100,-66.3044,66.3044,0.9998,31.377569913864136
8,0.99,1000,500,100,-73.9876,73.9876,0.9902,33.26439952850342
9,0.99,1000,500,100,-74.2108,74.2108,0.9958,31.7703275680542
