run,gamma,num_trajectories,training_episodes,max_iters,patience,mean_reward,mean_steps,success_rate,training_time
0,0.9,500,500,500,100,-68.354,68.354,0.998,40.52929615974426
1,0.9,500,500,500,100,-67.232,67.232,0.998,40.71432423591614
2,0.9,500,500,500,100,-67.168,67.168,1.0,39.78124666213989
3,0.9,500,500,500,100,-76.534,76.534,0.984,59.179959535598755
4,0.9,500,500,500,100,-65.164,65.164,0.996,58.56251811981201
5,0.9,500,500,500,100,-72.662,72.662,0.99,57.38361406326294
6,0.9,500,500,500,100,-68.068,68.068,0.998,40.462942361831665
7,0.9,500,500,500,100,-66.56,66.56,1.0,65.3159384727478
8,0.9,500,500,500,100,-72.844,72.844,0.99,69.14026665687561
9,0.9,500,500,500,100,-67.504,67.504,0.998,53.989222049713135
