run,gamma,num_trajectories,max_iters,patience,mean_reward,mean_steps,success_rate,training_time
0,0.9,10,500,100,-508.088,200.0,0.0,27.459750413894653
1,0.9,10,500,100,-200.0,200.0,0.0,25.00167942047119
2,0.9,10,500,100,-229.898,200.0,0.0,26.170314073562622
3,0.9,10,500,100,-209.306,200.0,0.0,24.653995275497437
4,0.9,10,500,100,-251.282,200.0,0.0,35.03356051445007
5,0.9,10,500,100,-335.432,200.0,0.0,50.444568395614624
6,0.9,10,500,100,-278.804,200.0,0.0,24.380462646484375
7,0.9,10,500,100,-380.378,200.0,0.0,27.770281553268433
8,0.9,10,500,100,-395.03,200.0,0.0,25.977683305740356
9,0.9,10,500,100,-227.522,200.0,0.0,38.12751865386963
