episode,reward,steps,time,reached_goal
0,-126.0,126,0.0010991096496582031,True
1,-96.0,96,0.0008172988891601562,True
2,-48.0,48,0.0004284381866455078,True
3,-72.0,72,0.0006401538848876953,True
4,-49.0,49,0.00044465065002441406,True
5,-85.0,85,0.0008473396301269531,True
6,-46.0,46,0.0004534721374511719,True
7,-116.0,116,0.0009763240814208984,True
8,-71.0,71,0.0006251335144042969,True
9,-64.0,64,0.0005578994750976562,True
10,-90.0,90,0.00079345703125,True
11,-77.0,77,0.0006666183471679688,True
12,-94.0,94,0.0008380413055419922,True
13,-98.0,98,0.0009021759033203125,True
14,-138.0,138,0.0011677742004394531,True
15,-40.0,40,0.0003840923309326172,True
16,-88.0,88,0.0007476806640625,True
17,-36.0,36,0.0003399848937988281,True
18,-77.0,77,0.0006680488586425781,True
19,-72.0,72,0.0006239414215087891,True
20,-63.0,63,0.000553131103515625,True
21,-65.0,65,0.0005674362182617188,True
22,-72.0,72,0.0006270408630371094,True
23,-85.0,85,0.0007317066192626953,True
24,-143.0,143,0.0011959075927734375,True
25,-55.0,55,0.0004813671112060547,True
26,-127.0,127,0.0010685920715332031,True
27,-92.0,92,0.0007867813110351562,True
28,-75.0,75,0.0006530284881591797,True
29,-27.0,27,0.0002608299255371094,True
30,-97.0,97,0.0008432865142822266,True
31,-106.0,106,0.0009007453918457031,True
32,-61.0,61,0.0005295276641845703,True
33,-136.0,136,0.0011546611785888672,True
34,-139.0,139,0.001177072525024414,True
35,-146.0,146,0.0012195110321044922,True
36,-118.0,118,0.0009920597076416016,True
37,-94.0,94,0.0008003711700439453,True
38,-93.0,93,0.0008490085601806641,True
39,-71.0,71,0.0006034374237060547,True
40,-111.0,111,0.0009450912475585938,True
41,-82.0,82,0.0007159709930419922,True
42,-72.0,72,0.0006594657897949219,True
43,-78.0,78,0.0006494522094726562,True
44,-71.0,71,0.0006113052368164062,True
45,-98.0,98,0.0008223056793212891,True
46,-46.0,46,0.000396728515625,True
47,-47.0,47,0.0004162788391113281,True
48,-110.0,110,0.0009093284606933594,True
49,-58.0,58,0.0004875659942626953,True
50,-96.0,96,0.0008058547973632812,True
51,-56.0,56,0.00047516822814941406,True
52,-65.0,65,0.0005655288696289062,True
53,-109.0,109,0.00091552734375,True
54,-100.0,100,0.0009031295776367188,True
55,-37.0,37,0.00032782554626464844,True
56,-87.0,87,0.0007638931274414062,True
57,-119.0,119,0.000997781753540039,True
58,-34.0,34,0.00031065940856933594,True
59,-55.0,55,0.0005197525024414062,True
60,-88.0,88,0.0007412433624267578,True
61,-102.0,102,0.0008604526519775391,True
62,-50.0,50,0.0004360675811767578,True
63,-77.0,77,0.0006418228149414062,True
64,-35.0,35,0.0003218650817871094,True
65,-63.0,63,0.0005350112915039062,True
66,-86.0,86,0.0007281303405761719,True
67,-74.0,74,0.0006322860717773438,True
68,-141.0,141,0.0011665821075439453,True
69,-91.0,91,0.0007679462432861328,True
70,-91.0,91,0.0008265972137451172,True
71,-79.0,79,0.0006761550903320312,True
72,-137.0,137,0.0011515617370605469,True
73,-41.0,41,0.00036835670471191406,True
74,-192.0,192,0.0016162395477294922,True
75,-55.0,55,0.0005071163177490234,True
76,-98.0,98,0.0008358955383300781,True
77,-92.0,92,0.0007786750793457031,True
78,-55.0,55,0.0004718303680419922,True
79,-87.0,87,0.0007398128509521484,True
80,-72.0,72,0.0006051063537597656,True
81,-32.0,32,0.0002989768981933594,True
82,-139.0,139,0.0011551380157470703,True
83,-63.0,63,0.0005369186401367188,True
84,-82.0,82,0.0006964206695556641,True
85,-73.0,73,0.0006945133209228516,True
86,-79.0,79,0.0006685256958007812,True
87,-79.0,79,0.0006868839263916016,True
88,-103.0,103,0.0008652210235595703,True
89,-69.0,69,0.0006325244903564453,True
90,-74.0,74,0.0006253719329833984,True
91,-62.0,62,0.0005424022674560547,True
92,-102.0,102,0.0008549690246582031,True
