run,gamma,num_trajectories,max_iters,patience,mean_reward,mean_steps,success_rate,training_time
0,0.7,500,500,100,-68.702,68.702,0.996,65.88721346855164
1,0.7,500,500,100,-77.082,77.082,0.996,52.411049604415894
2,0.7,500,500,100,-73.81,73.81,0.994,41.45513343811035
3,0.7,500,500,100,-68.498,68.498,0.996,52.41727924346924
4,0.7,500,500,100,-68.904,68.904,0.996,85.21236157417297
5,0.7,500,500,100,-74.194,74.194,0.994,30.859452962875366
6,0.7,500,500,100,-74.198,74.198,0.986,27.710492849349976
7,0.7,500,500,100,-73.646,73.646,0.994,47.855541944503784
8,0.7,500,500,100,-68.51,68.51,0.998,49.37281942367554
9,0.7,500,500,100,-73.636,73.636,0.996,58.624743700027466
