run,gamma,num_trajectories,training_episodes,max_iters,patience,mean_reward,mean_steps,success_rate,training_time
0,0.99,1000,500,500,100,-65.998,65.998,1.0,28.238869667053223
1,0.99,1000,500,500,100,-68.294,68.294,0.998,36.12561392784119
2,0.99,1000,500,500,100,-64.35,64.35,0.998,39.14762783050537
3,0.99,1000,500,500,100,-63.598,63.598,1.0,30.399821519851685
4,0.99,1000,500,500,100,-68.782,68.782,1.0,38.62248373031616
5,0.99,1000,500,500,100,-63.57,63.57,1.0,46.22620701789856
6,0.99,1000,500,500,100,-69.126,69.126,1.0,36.79649209976196
7,0.99,1000,500,500,100,-68.29,68.29,1.0,25.507415771484375
8,0.99,1000,500,500,100,-62.894,62.894,1.0,45.655558824539185
9,0.99,1000,500,500,100,-70.066,70.066,0.998,46.71630144119263
