episode,reward,steps,time,reached_goal
0,-65.0,65,0.0006003379821777344,True
1,-121.0,121,0.001039743423461914,True
2,-45.0,45,0.0004260540008544922,True
3,-81.0,81,0.0007023811340332031,True
4,-124.0,124,0.0011909008026123047,True
5,-54.0,54,0.0004878044128417969,True
6,-109.0,109,0.0009419918060302734,True
7,-98.0,98,0.0008327960968017578,True
8,-65.0,65,0.0005779266357421875,True
9,-90.0,90,0.0007877349853515625,True
10,-102.0,102,0.0008976459503173828,True
11,-48.0,48,0.00048732757568359375,True
12,-63.0,63,0.0005509853363037109,True
13,-72.0,72,0.0006480216979980469,True
14,-62.0,62,0.0005631446838378906,True
15,-74.0,74,0.0006368160247802734,True
16,-69.0,69,0.0006248950958251953,True
17,-110.0,110,0.0009593963623046875,True
18,-79.0,79,0.0006906986236572266,True
19,-96.0,96,0.0008251667022705078,True
20,-64.0,64,0.0005545616149902344,True
21,-61.0,61,0.0005779266357421875,True
22,-71.0,71,0.0006272792816162109,True
23,-51.0,51,0.0004925727844238281,True
24,-96.0,96,0.0008180141448974609,True
25,-85.0,85,0.0007147789001464844,True
26,-53.0,53,0.0004665851593017578,True
27,-57.0,57,0.0005128383636474609,True
28,-106.0,106,0.0009100437164306641,True
29,-74.0,74,0.0006859302520751953,True
30,-72.0,72,0.0006387233734130859,True
31,-47.0,47,0.0004127025604248047,True
32,-43.0,43,0.0004029273986816406,True
33,-123.0,123,0.0010364055633544922,True
34,-152.0,152,0.0012617111206054688,True
35,-45.0,45,0.00039768218994140625,True
36,-38.0,38,0.0003542900085449219,True
37,-49.0,49,0.0004334449768066406,True
38,-78.0,78,0.0007090568542480469,True
39,-43.0,43,0.0003845691680908203,True
40,-74.0,74,0.0006434917449951172,True
41,-85.0,85,0.000732421875,True
42,-39.0,39,0.0003516674041748047,True
43,-99.0,99,0.0008502006530761719,True
44,-50.0,50,0.0004563331604003906,True
45,-81.0,81,0.0006856918334960938,True
46,-72.0,72,0.0006284713745117188,True
47,-35.0,35,0.0003218650817871094,True
48,-78.0,78,0.0006849765777587891,True
49,-59.0,59,0.000518798828125,True
50,-60.0,60,0.0005314350128173828,True
51,-43.0,43,0.0003876686096191406,True
52,-49.0,49,0.00051116943359375,True
53,-72.0,72,0.00064849853515625,True
54,-126.0,126,0.0010673999786376953,True
55,-73.0,73,0.0006260871887207031,True
