run,gamma,num_trajectories,training_episodes,max_iters,patience,mean_reward,mean_steps,success_rate,training_time
0,0.9,100,500,500,100,-151.052,94.622,0.906,64.4381959438324
1,0.9,100,500,500,100,-200.0,200.0,0.0,34.08434271812439
2,0.9,100,500,500,100,-247.204,148.204,0.578,29.91514229774475
3,0.9,100,500,500,100,-395.03,200.0,0.0,32.033385276794434
4,0.9,100,500,500,100,-275.332,165.64,0.402,63.33299660682678
5,0.9,100,500,500,100,-413.062,198.034,0.028,35.20226526260376
6,0.9,100,500,500,100,-441.336,171.066,0.322,35.36832046508789
7,0.9,100,500,500,100,-540.362,200.0,0.0,37.849783420562744
8,0.9,100,500,500,100,-370.478,200.0,0.0,32.23385691642761
9,0.9,100,500,500,100,-495.416,200.0,0.0,35.168076276779175
