run,gamma,num_trajectories,training_episodes,max_iters,patience,mean_reward,mean_steps,success_rate,training_time
0,0.95,500,500,500,100,-75.492,75.492,0.996,39.89791226387024
1,0.95,500,500,500,100,-73.23,73.23,0.998,39.888073682785034
2,0.95,500,500,500,100,-68.272,68.272,1.0,65.98285007476807
3,0.95,500,500,500,100,-67.636,67.636,1.0,42.06767392158508
4,0.95,500,500,500,100,-67.078,67.078,1.0,67.01781177520752
5,0.95,500,500,500,100,-70.412,70.412,0.998,64.50453639030457
6,0.95,500,500,500,100,-65.576,65.576,1.0,47.83918356895447
7,0.95,500,500,500,100,-69.5,69.5,1.0,44.880863666534424
8,0.95,500,500,500,100,-71.776,71.776,0.996,51.78558897972107
9,0.95,500,500,500,100,-83.682,83.682,0.988,40.95969843864441
