episode,reward,steps,time,reached_goal
0,-61.0,61,0.0007073879241943359,True
1,-95.0,95,0.0009338855743408203,True
2,-64.0,64,0.0006747245788574219,True
3,-36.0,36,0.00042176246643066406,True
4,-38.0,38,0.0004513263702392578,True
5,-69.0,69,0.0008053779602050781,True
6,-88.0,88,0.0008864402770996094,True
7,-53.0,53,0.0005593299865722656,True
8,-70.0,70,0.0006756782531738281,True
9,-61.0,61,0.0006422996520996094,True
10,-57.0,57,0.0006031990051269531,True
11,-46.0,46,0.0004799365997314453,True
12,-81.0,81,0.0008182525634765625,True
13,-94.0,94,0.0009100437164306641,True
14,-110.0,110,0.0010437965393066406,True
15,-85.0,85,0.0008451938629150391,True
16,-50.0,50,0.0005524158477783203,True
17,-42.0,42,0.00044918060302734375,True
18,-71.0,71,0.0007655620574951172,True
19,-49.0,49,0.0005331039428710938,True
20,-113.0,113,0.0010542869567871094,True
21,-49.0,49,0.0005269050598144531,True
22,-67.0,67,0.0006504058837890625,True
23,-145.0,145,0.0013451576232910156,True
24,-111.0,111,0.0010437965393066406,True
25,-99.0,99,0.0009546279907226562,True
26,-73.0,73,0.0007412433624267578,True
27,-72.0,72,0.0007255077362060547,True
28,-133.0,133,0.0012543201446533203,True
29,-65.0,65,0.0006754398345947266,True
30,-53.0,53,0.0005900859832763672,True
31,-107.0,107,0.0010418891906738281,True
32,-68.0,68,0.00070953369140625,True
33,-102.0,102,0.0009829998016357422,True
34,-87.0,87,0.0008687973022460938,True
35,-60.0,60,0.0006327629089355469,True
36,-54.0,54,0.0005731582641601562,True
37,-51.0,51,0.0005278587341308594,True
38,-116.0,116,0.0011143684387207031,True
39,-38.0,38,0.0004527568817138672,True
40,-129.0,129,0.0013065338134765625,True
41,-78.0,78,0.0007750988006591797,True
42,-63.0,63,0.0006520748138427734,True
43,-54.0,54,0.0005655288696289062,True
44,-62.0,62,0.0006406307220458984,True
45,-54.0,54,0.0005681514739990234,True
46,-32.0,32,0.0003783702850341797,True
47,-41.0,41,0.00045490264892578125,True
48,-68.0,68,0.0006544589996337891,True
49,-45.0,45,0.0004763603210449219,True
50,-60.0,60,0.000606536865234375,True
51,-77.0,77,0.0007231235504150391,True
52,-51.0,51,0.0005326271057128906,True
53,-73.0,73,0.0007281303405761719,True
54,-57.0,57,0.0005567073822021484,True
55,-37.0,37,0.0003921985626220703,True
56,-54.0,54,0.0006220340728759766,True
57,-91.0,91,0.0008571147918701172,True
58,-100.0,100,0.0009393692016601562,True
59,-59.0,59,0.0005888938903808594,True
60,-43.0,43,0.00047016143798828125,True
61,-68.0,68,0.0006518363952636719,True
62,-57.0,57,0.0005764961242675781,True
63,-93.0,93,0.0008726119995117188,True
64,-28.0,28,0.00031065940856933594,True
65,-35.0,35,0.0003998279571533203,True
66,-55.0,55,0.0005354881286621094,True
67,-77.0,77,0.0007371902465820312,True
68,-68.0,68,0.0006763935089111328,True
69,-41.0,41,0.00044274330139160156,True
70,-59.0,59,0.0005731582641601562,True
71,-63.0,63,0.0006327629089355469,True
72,-68.0,68,0.0007398128509521484,True
73,-31.0,31,0.00034046173095703125,True
74,-38.0,38,0.00042819976806640625,True
75,-48.0,48,0.0004856586456298828,True
76,-64.0,64,0.0006310939788818359,True
77,-153.0,153,0.001405477523803711,True
78,-65.0,65,0.0006680488586425781,True
79,-83.0,83,0.0008044242858886719,True
80,-65.0,65,0.0006451606750488281,True
81,-91.0,91,0.0008327960968017578,True
82,-63.0,63,0.0006182193756103516,True
83,-87.0,87,0.0008428096771240234,True
84,-55.0,55,0.0005662441253662109,True
85,-77.0,77,0.0007319450378417969,True
86,-48.0,48,0.0005056858062744141,True
87,-43.0,43,0.0005168914794921875,True
88,-60.0,60,0.0005860328674316406,True
89,-149.0,149,0.0013475418090820312,True
90,-59.0,59,0.0005805492401123047,True
91,-63.0,63,0.0006468296051025391,True
92,-88.0,88,0.0008547306060791016,True
93,-67.0,67,0.0006728172302246094,True
94,-106.0,106,0.0009908676147460938,True
95,-54.0,54,0.0005333423614501953,True
96,-102.0,102,0.0009527206420898438,True
97,-32.0,32,0.0003743171691894531,True
98,-61.0,61,0.0005867481231689453,True
99,-59.0,59,0.0006110668182373047,True
100,-69.0,69,0.0007004737854003906,True
101,-92.0,92,0.0009171962738037109,True
102,-40.0,40,0.00042939186096191406,True
103,-28.0,28,0.00034928321838378906,True
104,-70.0,70,0.0006663799285888672,True
105,-94.0,94,0.0008921623229980469,True
106,-75.0,75,0.0007429122924804688,True
107,-47.0,47,0.0005133152008056641,True
108,-42.0,42,0.0004317760467529297,True
109,-84.0,84,0.0007982254028320312,True
110,-42.0,42,0.0004563331604003906,True
111,-107.0,107,0.0009927749633789062,True
112,-53.0,53,0.0005202293395996094,True
113,-105.0,105,0.0009768009185791016,True
114,-37.0,37,0.0004260540008544922,True
115,-65.0,65,0.0006127357482910156,True
116,-83.0,83,0.0007748603820800781,True
117,-62.0,62,0.0006473064422607422,True
118,-59.0,59,0.0005888938903808594,True
119,-64.0,64,0.0006012916564941406,True
120,-106.0,106,0.0009706020355224609,True
121,-72.0,72,0.0006983280181884766,True
122,-108.0,108,0.0010409355163574219,True
123,-97.0,97,0.0009315013885498047,True
124,-99.0,99,0.0009284019470214844,True
125,-48.0,48,0.0005054473876953125,True
126,-52.0,52,0.0005121231079101562,True
127,-74.0,74,0.0007195472717285156,True
128,-55.0,55,0.0005762577056884766,True
129,-52.0,52,0.0005161762237548828,True
130,-59.0,59,0.0006086826324462891,True
131,-71.0,71,0.0007023811340332031,True
132,-122.0,122,0.0011339187622070312,True
133,-157.0,157,0.0014231204986572266,True
134,-47.0,47,0.0005035400390625,True
135,-59.0,59,0.0006077289581298828,True
136,-97.0,97,0.0009160041809082031,True
137,-54.0,54,0.0005297660827636719,True
138,-105.0,105,0.0009708404541015625,True
139,-56.0,56,0.0005729198455810547,True
140,-40.0,40,0.0004086494445800781,True
141,-156.0,156,0.0014219284057617188,True
142,-95.0,95,0.0008993148803710938,True
143,-200.0,200,0.0018110275268554688,False
144,-70.0,70,0.0006802082061767578,True
145,-62.0,62,0.0006299018859863281,True
146,-29.0,29,0.0003261566162109375,True
147,-53.0,53,0.0005326271057128906,True
148,-56.0,56,0.0006034374237060547,True
149,-49.0,49,0.0005223751068115234,True
150,-28.0,28,0.00035691261291503906,True
151,-33.0,33,0.0003566741943359375,True
152,-200.0,200,0.0017788410186767578,False
153,-41.0,41,0.00042247772216796875,True
154,-37.0,37,0.000396728515625,True
155,-64.0,64,0.0006384849548339844,True
156,-68.0,68,0.0006461143493652344,True
157,-147.0,147,0.001336812973022461,True
158,-68.0,68,0.0006623268127441406,True
159,-91.0,91,0.0008344650268554688,True
