episode,reward,steps,time,reached_goal
0,-206.0,107,0.000986337661743164,True
1,-48.0,48,0.0004749298095703125,True
2,-562.0,67,0.0005950927734375,True
3,-26.0,26,0.0002715587615966797,True
4,-47.0,47,0.00042891502380371094,True
5,-80.0,80,0.0007231235504150391,True
6,-32.0,32,0.0003209114074707031,True
7,-29.0,29,0.0003414154052734375,True
8,-123.0,123,0.0010883808135986328,True
9,-180.0,180,0.0016510486602783203,True
10,-496.0,100,0.0008730888366699219,True
11,-149.0,50,0.00048732757568359375,True
12,-152.0,53,0.00046944618225097656,True
13,-157.0,157,0.0013325214385986328,True
14,-34.0,34,0.0003216266632080078,True
15,-238.0,40,0.00041866302490234375,True
16,-72.0,72,0.0006239414215087891,True
17,-185.0,86,0.0008301734924316406,True
18,-53.0,53,0.0004932880401611328,True
19,-54.0,54,0.0004801750183105469,True
20,-43.0,43,0.00038886070251464844,True
21,-318.0,120,0.0010459423065185547,True
22,-369.0,72,0.0006265640258789062,True
23,-488.0,92,0.0007996559143066406,True
24,-289.0,91,0.0007913112640380859,True
25,-150.0,51,0.0004487037658691406,True
26,-333.0,135,0.0011348724365234375,True
27,-49.0,49,0.0004451274871826172,True
28,-139.0,40,0.0003581047058105469,True
29,-257.0,59,0.0005393028259277344,True
30,-240.0,42,0.00037360191345214844,True
31,-49.0,49,0.000446319580078125,True
32,-136.0,37,0.000339508056640625,True
33,-54.0,54,0.0005159378051757812,True
34,-147.0,48,0.0004215240478515625,True
35,-92.0,92,0.0007889270782470703,True
36,-45.0,45,0.00040078163146972656,True
37,-69.0,69,0.0006012916564941406,True
38,-67.0,67,0.0005846023559570312,True
39,-93.0,93,0.0007832050323486328,True
40,-158.0,59,0.0005221366882324219,True
41,-260.0,62,0.0005359649658203125,True
42,-74.0,74,0.0006434917449951172,True
43,-34.0,34,0.00030922889709472656,True
44,-80.0,80,0.0006983280181884766,True
45,-60.0,60,0.0005283355712890625,True
46,-175.0,76,0.0006461143493652344,True
47,-300.0,102,0.0009400844573974609,True
48,-227.0,128,0.0010848045349121094,True
49,-176.0,77,0.0006740093231201172,True
50,-152.0,53,0.0005071163177490234,True
51,-76.0,76,0.0006487369537353516,True
52,-68.0,68,0.0006031990051269531,True
53,-425.0,128,0.001096963882446289,True
54,-146.0,47,0.0004322528839111328,True
55,-235.0,37,0.00034308433532714844,True
56,-53.0,53,0.00046706199645996094,True
57,-954.0,162,0.0013666152954101562,True
58,-58.0,58,0.0005040168762207031,True
59,-165.0,66,0.0005800724029541016,True
60,-73.0,73,0.0006356239318847656,True
61,-164.0,164,0.0013995170593261719,True
62,-38.0,38,0.0004146099090576172,True
63,-153.0,54,0.0004911422729492188,True
64,-51.0,51,0.00045037269592285156,True
65,-62.0,62,0.0005543231964111328,True
66,-47.0,47,0.000423431396484375,True
67,-348.0,51,0.0005133152008056641,True
68,-43.0,43,0.0004177093505859375,True
69,-77.0,77,0.0007135868072509766,True
70,-44.0,44,0.0004858970642089844,True
71,-504.0,108,0.0009641647338867188,True
72,-131.0,131,0.001125335693359375,True
73,-159.0,60,0.0005285739898681641,True
