run,gamma,num_trajectories,max_iters,patience,mean_reward,mean_steps,success_rate,training_time
0,0.99,1000,500,100,-71.626,71.626,0.995,24.973390102386475
1,0.99,1000,500,100,-64.858,64.858,1.0,48.88074469566345
2,0.99,1000,500,100,-65.499,65.499,1.0,35.51287531852722
3,0.99,1000,500,100,-66.378,66.378,0.999,36.39808797836304
4,0.99,1000,500,100,-66.287,66.287,1.0,40.15348482131958
5,0.99,1000,500,100,-63.835,63.835,0.999,34.21135354042053
6,0.99,1000,500,100,-74.038,74.038,0.988,32.497522830963135
7,0.99,1000,500,100,-66.794,66.794,0.999,37.35916185379028
8,0.99,1000,500,100,-69.001,69.001,0.997,39.767757177352905
9,0.99,1000,500,100,-71.492,71.492,0.997,38.71278691291809
