run,gamma,num_trajectories,max_iters,patience,mean_reward,mean_steps,success_rate,training_time
0,0.99,100,500,100,-536.996,200.0,0.0,41.0138258934021
1,0.99,100,500,100,-139.04,92.312,0.94,63.04494261741638
2,0.99,100,500,100,-302.564,200.0,0.0,35.12784266471863
3,0.99,100,500,100,-334.0,139.762,0.616,44.466310262680054
4,0.99,100,500,100,-471.854,200.0,0.0,34.19956827163696
5,0.99,100,500,100,-356.024,200.0,0.0,33.51252245903015
6,0.99,100,500,100,-75.648,75.648,0.998,109.27549028396606
7,0.99,100,500,100,-65.766,65.766,1.0,87.83037853240967
8,0.99,100,500,100,-398.216,154.676,0.474,35.01662063598633
9,0.99,100,500,100,-358.456,192.928,0.1,105.98705005645752
