run,gamma,num_trajectories,training_episodes,max_iters,patience,mean_reward,mean_steps,success_rate,training_time
0,0.95,100,500,500,100,-67.36,67.36,0.996,105.11912441253662
1,0.95,100,500,500,100,-376.814,200.0,0.0,49.09370493888855
2,0.95,100,500,500,100,-211.99,187.834,0.136,63.451284646987915
3,0.95,100,500,500,100,-379.784,200.0,0.0,34.962748765945435
4,0.95,100,500,500,100,-381.744,150.084,0.546,30.458145141601562
5,0.95,100,500,500,100,-588.476,200.0,0.0,52.215210914611816
6,0.95,100,500,500,100,-400.67,184.652,0.172,37.22249484062195
7,0.95,100,500,500,100,-492.05,200.0,0.0,36.93788552284241
8,0.95,100,500,500,100,-72.618,72.618,1.0,93.37447690963745
9,0.95,100,500,500,100,-228.448,118.954,0.774,41.64149594306946
