run,gamma,num_trajectories,training_episodes,max_iters,patience,mean_reward,mean_steps,success_rate,training_time
0,0.99,1000,500,500,1000,-64.262,64.262,0.998,71.14684629440308
1,0.99,1000,500,500,1000,-65.896,65.896,0.998,71.10063910484314
2,0.99,1000,500,500,1000,-65.28,65.28,0.998,74.25000333786011
3,0.99,1000,500,500,1000,-67.068,67.068,0.998,79.63005232810974
4,0.99,1000,500,500,1000,-64.144,64.144,1.0,74.56757974624634
5,0.99,1000,500,500,1000,-63.076,63.076,1.0,74.3651795387268
6,0.99,1000,500,500,1000,-65.954,65.954,1.0,72.88818120956421
7,0.99,1000,500,500,1000,-66.48,66.48,0.998,73.16708421707153
8,0.99,1000,500,500,1000,-71.358,71.358,1.0,75.57280015945435
9,0.99,1000,500,500,1000,-65.926,65.926,1.0,75.74179983139038
