run,gamma,num_trajectories,training_episodes,max_iters,patience,mean_reward,mean_steps,success_rate,training_time
0,0.99,1000,500,500,100,-64.482,64.482,1.0,64.07968425750732
1,0.99,1000,500,500,100,-69.088,69.088,1.0,37.466859579086304
2,0.99,1000,500,500,100,-66.268,66.268,0.996,56.670300245285034
3,0.99,1000,500,500,100,-69.276,69.276,0.998,36.91195464134216
4,0.99,1000,500,500,100,-65.54,65.54,1.0,59.24328064918518
5,0.99,1000,500,500,100,-64.104,64.104,0.998,36.026531457901
6,0.99,1000,500,500,100,-71.026,71.026,0.996,26.98822283744812
7,0.99,1000,500,500,100,-65.23,65.23,1.0,41.88274669647217
8,0.99,1000,500,500,100,-66.278,66.278,1.0,50.0325186252594
9,0.99,1000,500,500,100,-68.796,68.796,1.0,38.10557460784912
