run,gamma,num_trajectories,training_episodes,max_iters,patience,mean_reward,mean_steps,success_rate,training_time
0,0.99,10,500,500,100,-258.806,200.0,0.0,24.95704960823059
1,0.99,10,500,500,100,-200.0,200.0,0.0,26.31279945373535
2,0.99,10,500,500,100,-227.522,200.0,0.0,24.465136528015137
3,0.99,10,500,500,100,-348.5,200.0,0.0,24.042340993881226
4,0.99,10,500,500,100,-312.662,200.0,0.0,26.00896120071411
5,0.99,10,500,500,100,-200.0,200.0,0.0,26.74050235748291
6,0.99,10,500,500,100,-200.0,200.0,0.0,23.951078176498413
7,0.99,10,500,500,100,-200.0,200.0,0.0,25.889919757843018
8,0.99,10,500,500,100,-519.374,200.0,0.0,24.457885265350342
9,0.99,10,500,500,100,-331.076,200.0,0.0,34.0890531539917
